기존색,빈도,분류,대상변수,deltaE,분류근거,사용위치_예시(최대5)
#B8662F,4,UNSURE,--text-muted,58.0,"ΔE(Lab)=58.0 → --text-muted; 채도(C*)=52.6, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",index.php:357 | src/guide/order.php:47 | src/guide/index.php:96 | src/guide/_head.php:58
#2E6FA8,4,UNSURE,--text-muted,34.6,"ΔE(Lab)=34.6 → --text-muted; 채도(C*)=36.5, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",index.php:365 | src/guide/order.php:53 | src/guide/index.php:105 | src/guide/_head.php:65
#2a9d8f,4,UNSURE,--accent,26.3,"ΔE(Lab)=26.3 → --accent; 채도(C*)=34.6, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/css/dashboard.css:632 | src/css/dashboard.css:633 | src/css/dashboard.css:654 | src/css/dashboard.css:660
"rgba(255,255,255,0.2)",4,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.2,src/css/engine-common.css:10 | src/css/engine-common.css:676 | src/css/engine-common.css:1675 | src/css/engine-common.css:1781
"rgba(255,255,255,0.1)",4,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.1,src/css/engine-common.css:40 | src/css/engine-common.css:56 | src/css/engine-common.css:78 | src/css/engine-common.css:651
#7dd9d0,4,UNSURE,--border,29.3,"ΔE(Lab)=29.3 → --border; 채도(C*)=29.9, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/css/engine-common.css:84 | src/css/engine-common.css:116 | src/css/engine-common.css:1757 | src/admin/ai_tuning.php:65
"rgba(0,0,0,0.2)",4,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.2,src/css/engine-common.css:237 | src/css/engine-common.css:239 | src/css/engine-common.css:1362 | src/css/index.css:802
"rgba(255,255,255,0.45)",4,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.45,src/css/engine-common.css:565 | src/css/engine-common.css:566 | src/css/engine-common.css:1365 | src/css/engine-common.css:1627
#F2F3F4,4,UI,--bg,0.3,ΔE(Lab)=0.3 → --bg,src/css/engine-common.css:904 | src/css/engine-common.css:935 | src/css/index.css:729 | src/components/mailform/order.php:23
#FFE066,4,UNSURE,--accent-tint,61.9,"ΔE(Lab)=61.9 → --accent-tint; 채도(C*)=62.4, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/css/engine-common.css:1611 | src/css/engine-common.css:1626 | src/css/engine-common.css:1629 | src/css/tokens.css:39
#7A8C89,4,UI,--text-muted,8.3,ΔE(Lab)=8.3 → --text-muted,src/css/auth_modal.css:65 | src/css/auth_modal.css:170 | src/css/auth_modal.css:248 | src/css/admin/oauth.css:31
#ffeaea,4,UI,--bg,8.1,ΔE(Lab)=8.1 → --bg,src/admin/render_settings.php:31 | src/admin/blog.php:67 | src/admin/collection_filters.php:27 | src/admin/pattern_categories.php:31
#1a8a5a,4,UNSURE,--accent,29.2,"ΔE(Lab)=29.2 → --accent; 채도(C*)=45.3, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/admin/render_settings.php:34 | src/admin/blog.php:68 | src/admin/collection_filters.php:30 | src/admin/pattern_categories.php:34
"rgba(0, 0, 0, 0.9)",4,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.9,src/css/index.css:386 | src/css/index.css:451 | src/css/index.css:474 | src/css/index.css:482
#1a6b62,4,UI,--accent,7.9,ΔE(Lab)=7.9 → --accent,src/admin/ai_tuning.php:28 | src/admin/ai_tuning.php:86 | src/admin/ai_tuning.php:87 | src/admin/ai_stats.php:24
#e8ece9,4,UI,--accent-tint,1.5,ΔE(Lab)=1.5 → --accent-tint,src/admin/ai_tuning.php:32 | src/admin/ai_tuning.php:89 | src/admin/ai_stats.php:29 | src/admin/ai_stats.php:46
#e8ecea,4,UI,--accent-tint,1.6,ΔE(Lab)=1.6 → --accent-tint,src/components/mailform/reset.php:39 | src/components/mailform/welcome.php:36 | src/components/mailform/order.php:83 | src/components/mailform/contact.php:45
#28241e,4,UI,--text,7.9,ΔE(Lab)=7.9 → --text,src/api/admin/ai_tuning.php:42 | src/api/admin/ai_tuning.php:43 | src/api/ai/chat.php:67 | src/api/ai/chat.php:68
#F5F4EE,3,UI,--bg,3.6,ΔE(Lab)=3.6 → --bg,index.php:325 | src/guide/index.php:60 | src/guide/_head.php:29
#F2F0FB,3,UI,--bg,5.3,ΔE(Lab)=5.3 → --bg,index.php:333 | src/guide/index.php:69 | src/guide/_head.php:37
#FFF8EE,3,UI,--bg,6.5,ΔE(Lab)=6.5 → --bg,index.php:341 | src/guide/index.php:78 | src/guide/_head.php:44
#EEF3F8,3,UI,--bg,2.5,ΔE(Lab)=2.5 → --bg,index.php:349 | src/guide/index.php:87 | src/guide/_head.php:51
#2A6B8C,3,UNSURE,--text-muted,27.1,"ΔE(Lab)=27.1 → --text-muted; 채도(C*)=25.9, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",index.php:349 | src/guide/index.php:87 | src/guide/_head.php:51
#FDF0E6,3,UI,--bg,7.6,ΔE(Lab)=7.6 → --bg,index.php:357 | src/guide/index.php:96 | src/guide/_head.php:58
#EAF3FB,3,UI,--bg,4.5,ΔE(Lab)=4.5 → --bg,index.php:365 | src/guide/index.php:105 | src/guide/_head.php:65
#8B5CF6,3,UNSURE,--text-muted,85.4,"ΔE(Lab)=85.4 → --text-muted; 채도(C*)=88.4, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",color-migration/palette_root.css:38 | src/guide/guide.css:136 | src/guide/render.php:223
"rgba(0,0,0,.06)",3,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.06,src/guide/guide.css:9 | src/css/index.css:302 | src/admin/index.php:28
#4a3728,3,CONTENT,,,"guide 목재/마감 톤 견본 스와치 (guide.css, studio-classic.php, render.php)",src/guide/guide.css:93 | src/guide/studio-classic.php:72 | src/guide/render.php:97
#5C3D1E,3,CONTENT,,,"guide 목재/마감 톤 견본 스와치 (살색 데모, studio-classic.php, render.php)",src/guide/studio-classic.php:94 | src/guide/studio-classic.php:101 | src/guide/render.php:122
#1a1a1a,3,UI,--text,6.5,ΔE(Lab)=6.5 → --text,src/guide/faq.php:62 | src/css/dashboard.css:630 | src/css/engine-common.css:1431
"rgba(0,0,0,0.6)",3,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.6,src/css/dashboard.css:133 | src/css/index.css:553 | src/css/index.css:620
#5a6b69,3,UI,--accent,16.3,ΔE(Lab)=16.3 → --accent,src/css/dashboard.css:590 | src/css/dashboard.css:640 | src/css/dashboard.css:648
"rgba(255,255,255,0.3)",3,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.3,src/css/engine-common.css:45 | src/css/engine-common.css:491 | src/css/engine-common.css:617
"rgba(0,0,0,0.3)",3,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.3,src/css/engine-common.css:431 | src/css/nav.css:69 | src/css/index.css:107
"rgba(0,0,0,0.25)",3,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.25,src/css/engine-common.css:544 | src/css/engine-common.css:564 | src/css/engine-common.css:1783
#BDBDBD,3,UI,--border,9.7,ΔE(Lab)=9.7 → --border,src/css/engine-common.css:1280 | src/css/engine-common.css:1296 | src/css/engine-common.css:1359
"rgba(0,0,0,0.12)",3,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.12,src/css/engine-common.css:1533 | src/css/company.css:304 | src/css/index.css:682
#E4EDEA,3,UI,--accent-tint,0.5,ΔE(Lab)=0.5 → --accent-tint,src/css/auth_modal.css:70 | src/css/auth_modal.css:192 | src/css/admin/oauth.css:32
#B8C8C4,3,UI,--border,8.9,ΔE(Lab)=8.9 → --border,src/css/auth_modal.css:81 | src/css/auth_modal.css:120 | src/css/admin/oauth.css:36
#191919,3,UI,--text,7.0,ΔE(Lab)=7.0 → --text,src/css/auth_modal.css:208 | src/css/auth_modal.css:213 | src/css/admin/oauth.css:26
#C8D4D2,3,UI,--border,4.5,ΔE(Lab)=4.5 → --border,src/css/common.css:23 | src/css/work-detail.css:110 | src/css/work.css:57
"rgba(58, 140, 130, 0.06)",3,UI,--accent,18.5,ΔE(Lab)=18.5 → --accent; alpha=0.06,src/css/blog-detail.css:44 | src/css/blog-detail.css:149 | src/css/index.css:511
#d0e8e4,3,UI,--accent-tint,6.5,ΔE(Lab)=6.5 → --accent-tint,src/admin/ai_tuning.php:70 | src/admin/ai_tuning.php:75 | src/admin/ai_tuning.php:97
#111111,3,UI,--text,10.4,ΔE(Lab)=10.4 → --text; works.php work_panel_bg 등 작품패널 커스텀 색(DB 데이터) 2건 포함 - 값 자체는 범용 근흑색이라 전체 배제하지 않음,src/admin/works.php:129 | src/admin/works.php:262 | src/api/admin/works.php:66
#888888,3,UI,--text-muted,6.1,ΔE(Lab)=6.1 → --text-muted; works.php work_panel_desc_color 작품패널 커스텀 색(DB 데이터) 1건 포함 - 값 자체는 범용 회색이라 전체 배제하지 않음,src/admin/works.php:137 | src/admin/works.php:264 | src/api/admin/works.php:68
#F3F4F5,2,UI,--bg,0.0,ΔE(Lab)=0.0 → --bg,color-migration/palette_root.css:4 | src/css/tokens.css:4
#23262A,2,UI,--text,0.0,ΔE(Lab)=0.0 → --text,color-migration/palette_root.css:8 | src/css/tokens.css:8
#8A9199,2,UI,--text-muted,0.0,ΔE(Lab)=0.0 → --text-muted,color-migration/palette_root.css:12 | src/css/tokens.css:12
#D4D8DB,2,UI,--border,0.0,ΔE(Lab)=0.0 → --border,color-migration/palette_root.css:16 | src/css/tokens.css:16
#2C5F51,2,UI,--accent,0.0,ΔE(Lab)=0.0 → --accent,color-migration/palette_root.css:20 | src/css/tokens.css:20
#1F473C,2,UI,--accent-hover,0.0,ΔE(Lab)=0.0 → --accent-hover,color-migration/palette_root.css:22 | src/css/tokens.css:22
#E6EEEB,2,UI,--accent-tint,0.0,ΔE(Lab)=0.0 → --accent-tint,color-migration/palette_root.css:24 | src/css/tokens.css:24
"rgba(255,255,255,.6)",2,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.6,src/guide/guide.css:13 | src/css/work.css:136
"rgba(0,0,0,.08)",2,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.08,src/guide/guide.css:273 | src/css/index.css:353
#FFF2F0,2,UI,--bg,5.2,ΔE(Lab)=5.2 → --bg,src/guide/guide.css:464 | src/css/auth_modal.css:157
#F4F6F6,2,UI,--bg,0.9,ΔE(Lab)=0.9 → --bg,src/guide/guide.css:482 | src/css/common.css:24
#F0F4F0,2,UI,--accent-tint,2.8,ΔE(Lab)=2.8 → --accent-tint,src/guide/index.php:114 | src/guide/_head.php:72
#3A6B3A,2,UNSURE,--accent,21.1,"ΔE(Lab)=21.1 → --accent; 채도(C*)=35.6, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/guide/index.php:114 | src/guide/_head.php:72
#8B6914,2,CONTENT,,,"guide 목재/마감 톤 견본 스와치 (울거미색 데모, studio-classic.php, render.php)",src/guide/studio-classic.php:93 | src/guide/render.php:121
#b8a98a,2,CONTENT,,,"guide 목재/마감 톤 견본 스와치 (studio-classic.php, render.php)",src/guide/studio-classic.php:108 | src/guide/render.php:140
#8a5a00,2,UNSURE,--accent,59.1,"ΔE(Lab)=59.1 → --accent; 채도(C*)=52.3, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/css/dashboard.css:109 | src/css/tokens.css:36
#E08A00,2,UNSURE,--border,79.9,"ΔE(Lab)=79.9 → --border; 채도(C*)=75.0, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/css/dashboard.css:174 | src/css/engine-common.css:1011
"rgba(0,0,0,0.18)",2,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.18,src/css/dashboard.css:433 | src/css/collection.css:374
#e5e5e5,2,UI,--accent-tint,4.1,ΔE(Lab)=4.1 → --accent-tint,src/css/dashboard.css:652 | src/css/admin/cost_table.css:9
"rgba(0,0,0,0.04)",2,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.04,src/css/collection.css:179 | src/css/nav.css:238
#f0f0f0,2,UI,--bg,1.5,ΔE(Lab)=1.5 → --bg,src/css/engine-common.css:292 | src/css/engine-common.css:769
#ADADAD,2,UI,--text-muted,12.0,ΔE(Lab)=12.0 → --text-muted,src/css/engine-common.css:373 | src/css/engine-common.css:1114
"rgba(20,20,20,0.92)",2,UI,--text,9.2,ΔE(Lab)=9.2 → --text; alpha=0.92,src/css/engine-common.css:419 | src/css/engine-common.css:442
"rgba(255,255,255,0.12)",2,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.12,src/css/engine-common.css:452 | src/css/engine-common.css:1749
"rgba(255,255,255,0.5)",2,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.5,src/css/engine-common.css:544 | src/css/engine-common.css:564
"rgba(255,255,255,0.06)",2,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.06,src/css/engine-common.css:650 | src/css/engine-common.css:1423
"rgba(15, 20, 20, 0.5)",2,UI,--text,9.6,ΔE(Lab)=9.6 → --text; alpha=0.5,src/css/engine-common.css:776 | src/css/engine-common.css:1684
"rgba(255,255,255,0.92)",2,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.92,src/css/engine-common.css:1091 | src/css/engine-common.css:1575
"rgba(255,255,255,0.65)",2,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.65,src/css/engine-common.css:1092 | src/css/engine-common.css:1576
"rgba(0,0,0,0.4)",2,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.4,src/css/engine-common.css:1289 | src/admin/colors.php:52
"rgba(255,255,255,0.75)",2,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.75,src/css/engine-common.css:1765 | src/css/engine-common.css:1772
#ff8080,2,UNSURE,--text-muted,57.0,"ΔE(Lab)=57.0 → --text-muted; 채도(C*)=53.3, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/css/engine-common.css:1771 | src/admin/ai_tuning.php:67
#F5F8F7,2,UI,--bg,1.7,ΔE(Lab)=1.7 → --bg,src/css/auth_modal.css:200 | src/css/admin/oauth.css:29
"rgba(12,12,11,0.1)",2,UI,--text,12.2,ΔE(Lab)=12.2 → --text; alpha=0.1,src/css/nav.css:106 | src/css/company.css:2
"rgba(0,0,0,0.03)",2,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.03,src/css/nav.css:198 | src/css/nav.css:223
#DC2626,2,UNSURE,--text-muted,86.3,"ΔE(Lab)=86.3 → --text-muted; 채도(C*)=81.7, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/css/common.css:27 | src/css/tokens.css:28
#B91C1C,2,UNSURE,--text,78.9,"ΔE(Lab)=78.9 → --text; 채도(C*)=72.7, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/css/common.css:28 | src/css/tokens.css:30
#FEE2E2,2,UI,--bg,11.3,ΔE(Lab)=11.3 → --bg,src/css/common.css:29 | src/css/tokens.css:31
#B45309,2,UNSURE,--text-muted,70.9,"ΔE(Lab)=70.9 → --text-muted; 채도(C*)=64.9, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/css/common.css:32 | src/css/tokens.css:34
#FEF3C7,2,UNSURE,--accent-tint,22.2,"ΔE(Lab)=22.2 → --accent-tint; 채도(C*)=22.8, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/css/common.css:33 | src/css/tokens.css:35
"rgba(0, 0, 0, 0.6)",2,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.6,src/css/common.css:143 | src/css/common.css:165
#fff3f0,2,UI,--bg,5.1,ΔE(Lab)=5.1 → --bg,src/css/company.css:335 | src/css/index.css:713
"rgba(0,0,0,.12)",2,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.12,src/css/work-detail.css:72 | src/css/index.css:293
#eef1f0,2,UI,--bg,1.8,ΔE(Lab)=1.8 → --bg,src/css/admin/oauth.css:3 | src/admin/notice.php:98
#6B5A3E,2,CONTENT,,,guide 목재/마감 톤 견본 스와치 (render.php),src/guide/render.php:97 | src/guide/render.php:132
"rgba(255,255,255,.5)",2,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.5,src/guide/render.php:108 | src/css/work.css:149
#5C4A3A,2,CONTENT,,,guide 목재/마감 톤 견본 스와치 (render.php),src/guide/render.php:133 | src/guide/render.php:141
#f7f7f5,2,UI,--bg,1.9,ΔE(Lab)=1.9 → --bg,src/css/index.css:14 | src/mypage/dashboard.php:52
"rgba(0,0,0,.1)",2,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.1,src/css/index.css:273 | src/css/index.css:329
"rgba(255, 255, 255, .18)",2,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.18,src/css/index.css:414 | src/css/index.css:414
"rgba(0,0,0,0.07)",2,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.07,src/css/index.css:552 | src/css/index.css:619
#dec898,2,CONTENT,,,admin/colors.php 컬러 팔레트 관리 화면의 예시/기본 색상값 - 사용자 선택형 색상 옵션 데이터,src/admin/colors.php:63 | src/admin/colors.php:64
#4285F4,2,EXTERNAL_BRAND,,,Google 로그인 버튼 공식 로고 색상 (SVG path fill),src/admin/oauth.php:36 | src/components/auth_modal.php:30
#34A853,2,EXTERNAL_BRAND,,,Google 로그인 버튼 공식 로고 색상 (SVG path fill),src/admin/oauth.php:36 | src/components/auth_modal.php:30
#FBBC05,2,EXTERNAL_BRAND,,,Google 로그인 버튼 공식 로고 색상 (SVG path fill),src/admin/oauth.php:36 | src/components/auth_modal.php:30
#EA4335,2,EXTERNAL_BRAND,,,Google 로그인 버튼 공식 로고 색상 (SVG path fill),src/admin/oauth.php:36 | src/components/auth_modal.php:30
#f4f6f5,2,UI,--bg,1.2,ΔE(Lab)=1.2 → --bg,src/admin/ai_tuning.php:19 | src/admin/ai_stats.php:18
#c8e4df,2,UI,--accent-tint,8.6,ΔE(Lab)=8.6 → --accent-tint,src/admin/ai_tuning.php:103 | src/admin/ai_tuning.php:111
#f8faf9,2,UI,--bg,2.2,ΔE(Lab)=2.2 → --bg,src/admin/ai_stats.php:49 | src/admin/ai_stats.php:59
"rgba(0,0,0,0.14)",2,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.14,src/components/auth_modal.php:8 | src/components/auth_modal.php:111
#8B4513,2,UNSURE,--text,56.2,"ΔE(Lab)=56.2 → --text; 채도(C*)=48.8, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/api/admin/ai_tuning.php:42 | src/api/ai/chat.php:67
#c8a96e,2,UNSURE,--border,39.9,"ΔE(Lab)=39.9 → --border; 채도(C*)=34.8, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/api/admin/ai_tuning.php:43 | src/api/ai/chat.php:68
#E5E7EA,1,UI,--accent-tint,4.2,ΔE(Lab)=4.2 → --accent-tint,src/guide/guide.css:61
"rgba(255,255,255,.92)",1,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.92,src/guide/guide.css:68
"rgba(255,255,255,.9)",1,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.9,src/guide/guide.css:77
"rgba(255,255,255,.15)",1,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.15,src/guide/guide.css:96
"rgba(74,55,40,.15)",1,UI,--text,19.6,ΔE(Lab)=19.6 → --text; alpha=0.15,src/guide/guide.css:107
"rgba(139,115,85,.18)",1,UNSURE,--text-muted,27.7,"ΔE(Lab)=27.7 → --text-muted; 채도(C*)=20.7, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요; alpha=0.18",src/guide/guide.css:110
"rgba(180,155,110,.1)",1,UNSURE,--text-muted,32.8,"ΔE(Lab)=32.8 → --text-muted; 채도(C*)=27.2, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요; alpha=0.1",src/guide/guide.css:110
#d4c5a9,1,UI,--border,19.0,ΔE(Lab)=19.0 → --border,src/guide/guide.css:167
#a8956e,1,UNSURE,--text-muted,28.5,"ΔE(Lab)=28.5 → --text-muted; 채도(C*)=23.2, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/guide/guide.css:167
#1e5e58,1,UI,--accent,5.4,ΔE(Lab)=5.4 → --accent,src/guide/guide.css:462
#8B2A16,1,UNSURE,--text,58.1,"ΔE(Lab)=58.1 → --text; 채도(C*)=53.2, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/guide/guide.css:464
"rgba(255,255,255,.1)",1,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.1,src/guide/studio-classic.php:72
"rgba(74,55,40,.5)",1,UI,--text,19.6,ΔE(Lab)=19.6 → --text; alpha=0.5,src/guide/studio-classic.php:75
"rgba(255,255,255,.4)",1,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.4,src/guide/studio-classic.php:79
#dee2e6,1,UI,--border,3.6,ΔE(Lab)=3.6 → --border,src/guide/faq.php:53
#f7faf9,1,UI,--bg,2.3,ΔE(Lab)=2.3 → --bg,src/guide/faq.php:67
#2d7a6e,1,UI,--accent,11.8,ΔE(Lab)=11.8 → --accent,src/guide/faq.php:68
#fff4e5,1,UI,--bg,9.2,ΔE(Lab)=9.2 → --bg,src/css/dashboard.css:109
#ffdca0,1,UNSURE,--accent-tint,34.5,"ΔE(Lab)=34.5 → --accent-tint; 채도(C*)=34.2, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/css/dashboard.css:109
#f2f2f0,1,UI,--bg,1.7,ΔE(Lab)=1.7 → --bg,src/css/dashboard.css:123
"rgba(0,0,0,0.65)",1,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.65,src/css/dashboard.css:128
"rgba(58,140,130,0.12)",1,UI,--accent,18.5,ΔE(Lab)=18.5 → --accent; alpha=0.12,src/css/dashboard.css:160
#D1FAF0,1,UI,--accent-tint,12.0,ΔE(Lab)=12.0 → --accent-tint,src/css/dashboard.css:201
#dcdcda,1,UI,--border,3.4,ΔE(Lab)=3.4 → --border,src/css/dashboard.css:248
"rgba(0, 0, 0, 0.45)",1,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.45,src/css/dashboard.css:413
#f8f8f8,1,UI,--bg,1.6,ΔE(Lab)=1.6 → --bg,src/css/dashboard.css:527
#e5e7ea,1,UI,--accent-tint,4.2,ΔE(Lab)=4.2 → --accent-tint,src/css/dashboard.css:585
#e0e8e6,1,UI,--accent-tint,2.1,ΔE(Lab)=2.1 → --accent-tint,src/css/dashboard.css:614
#f0f4f3,1,UI,--bg,1.5,ΔE(Lab)=1.5 → --bg,src/css/dashboard.css:639
#d8e2e0,1,UI,--accent-tint,4.4,ΔE(Lab)=4.4 → --accent-tint,src/css/dashboard.css:646
#e8f4f2,1,UI,--accent-tint,2.3,ΔE(Lab)=2.3 → --accent-tint,src/css/dashboard.css:660
"rgba(247, 247, 246, 0.75)",1,UI,--bg,1.5,ΔE(Lab)=1.5 → --bg; alpha=0.75,src/css/collection.css:40
"rgba(0,0,0,0.09)",1,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.09,src/css/collection.css:184
"rgba(0,0,0,0.38)",1,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.38,src/css/collection.css:227
"rgba(0,0,0,0.45)",1,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.45,src/css/collection.css:362
"rgba(20,24,24,0.85)",1,UI,--text,7.7,ΔE(Lab)=7.7 → --text; alpha=0.85,src/css/engine-common.css:23
"rgba(255,255,255,0.18)",1,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.18,src/css/engine-common.css:79
"rgba(0,0,0,0.72)",1,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.72,src/css/engine-common.css:115
"rgba(125,217,208,0.25)",1,UNSURE,--border,29.3,"ΔE(Lab)=29.3 → --border; 채도(C*)=29.9, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요; alpha=0.25",src/css/engine-common.css:122
#ff9494,1,UNSURE,--border,47.3,"ΔE(Lab)=47.3 → --border; 채도(C*)=43.8, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/css/engine-common.css:127
"rgba(255,100,100,0.25)",1,UNSURE,--text-muted,70.1,"ΔE(Lab)=70.1 → --text-muted; 채도(C*)=66.7, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요; alpha=0.25",src/css/engine-common.css:127
"rgba(255,255,255,0.8)",1,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.8,src/css/engine-common.css:152
"rgba(58, 140, 130, 0.25)",1,UI,--accent,18.5,ΔE(Lab)=18.5 → --accent; alpha=0.25,src/css/engine-common.css:181
#FFB020,1,UNSURE,--accent-tint,80.0,"ΔE(Lab)=80.0 → --accent-tint; 채도(C*)=78.1, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/css/engine-common.css:213
#fff0f0,1,UI,--bg,5.7,ΔE(Lab)=5.7 → --bg,src/css/engine-common.css:259
"rgba(0, 0, 0, .18)",1,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.18,src/css/engine-common.css:342
"rgba(255,255,255,0.95)",1,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.95,src/css/engine-common.css:405
"rgba(0, 0, 0, 0.35)",1,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.35,src/css/engine-common.css:462
"rgba(255, 255, 255, 0.15)",1,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.15,src/css/engine-common.css:463
"rgba(255, 255, 255, 0.75)",1,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.75,src/css/engine-common.css:464
"rgba(200,50,50,0.85)",1,UNSURE,--text-muted,73.7,"ΔE(Lab)=73.7 → --text-muted; 채도(C*)=68.7, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요; alpha=0.85",src/css/engine-common.css:527
"rgba(255,255,255,0.7)",1,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.7,src/css/engine-common.css:605
"rgba(224,82,24,0.12)",1,UNSURE,--text-muted,83.4,"ΔE(Lab)=83.4 → --text-muted; 채도(C*)=78.8, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요; alpha=0.12",src/css/engine-common.css:656
