기존색,빈도,분류,대상변수,deltaE,분류근거,사용위치_예시(최대5)
"rgba(0, 0, 0, 0.08)",1,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.08,src/css/common.css:109
"rgba(0, 0, 0, 0.4)",1,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.4,src/css/common.css:149
"rgba(0,0,0,.14)",1,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.14,src/css/work-detail.css:57
"rgba(58,140,130,.3)",1,UI,--accent,18.5,ΔE(Lab)=18.5 → --accent; alpha=0.3,src/css/work-detail.css:82
#2d7a72,1,UI,--accent,12.2,ΔE(Lab)=12.2 → --accent,src/css/admin/oauth.css:38
"rgba(210,170,100,.9)",1,UNSURE,--border,46.1,"ΔE(Lab)=46.1 → --border; 채도(C*)=41.8, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요; alpha=0.9",src/guide/render.php:99
"rgba(210,170,100,.6)",1,UNSURE,--border,46.1,"ΔE(Lab)=46.1 → --border; 채도(C*)=41.8, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요; alpha=0.6",src/guide/render.php:102
#3d2e1e,1,CONTENT,,,guide 목재/마감 톤 견본 스와치 (render.php),src/guide/render.php:133
#7a6a50,1,CONTENT,,,guide 목재/마감 톤 견본 스와치 (render.php),src/guide/render.php:141
#10a37f,1,EXTERNAL_BRAND,,,OpenAI 로고 색상 (admin/render_settings.php AI 카드),src/admin/render_settings.php:58
#6B4FBB,1,EXTERNAL_BRAND,,,Anthropic 로고 색상 (admin/render_settings.php AI 카드),src/admin/render_settings.php:86
"rgba(12, 12, 11, 0.1)",1,UI,--text,12.2,ΔE(Lab)=12.2 → --text; alpha=0.1,src/css/index.css:2
#e0ddd8,1,UI,--border,5.3,ΔE(Lab)=5.3 → --border,src/css/index.css:15
#222,1,UI,--text,3.6,ΔE(Lab)=3.6 → --text,src/css/index.css:27
#f0f9f8,1,UI,--bg,3.2,ΔE(Lab)=3.2 → --bg,src/css/index.css:50
#c5e6e3,1,UI,--accent-tint,9.7,ΔE(Lab)=9.7 → --accent-tint,src/css/index.css:51
"rgba(0,0,0,.07)",1,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.07,src/css/index.css:265
"rgba(0,0,0,.35)",1,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.35,src/css/index.css:287
#f3f3f3,1,UI,--bg,0.7,ΔE(Lab)=0.7 → --bg,src/css/index.css:399
"rgba(255, 255, 255, .9)",1,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.9,src/css/index.css:428
"rgba(255, 255, 255, .8)",1,UI,--bg,3.9,ΔE(Lab)=3.9 → --bg; alpha=0.8,src/css/index.css:428
#6366f1,1,UNSURE,--text-muted,77.0,"ΔE(Lab)=77.0 → --text-muted; 채도(C*)=80.4, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/css/index.css:442
#8b5cf6,1,UNSURE,--text-muted,85.4,"ΔE(Lab)=85.4 → --text-muted; 채도(C*)=88.4, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/css/index.css:442
"rgba(58, 140, 130, 0.1)",1,UI,--accent,18.5,ΔE(Lab)=18.5 → --accent; alpha=0.1,src/css/index.css:518
#a81c00,1,UNSURE,--text,78.6,"ΔE(Lab)=78.6 → --text; 채도(C*)=73.4, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/css/index.css:710
"rgba(0,0,0,0.16)",1,UI,--text,15.3,ΔE(Lab)=15.3 → --text; alpha=0.16,src/css/users.css:118
#FECACA,1,UI,--border,21.2,ΔE(Lab)=21.2 → --border,src/css/users.css:175
#BBF7D0,1,UNSURE,--accent-tint,26.3,"ΔE(Lab)=26.3 → --accent-tint; 채도(C*)=29.4, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/css/users.css:184
#f0f8f7,1,UI,--bg,2.8,ΔE(Lab)=2.8 → --bg,src/admin/notice.php:102
"rgba(15,20,18,.85)",1,UI,--text,10.1,ΔE(Lab)=10.1 → --text; alpha=0.85,src/css/work.css:114
"rgba(15,20,18,.3)",1,UI,--text,10.1,ΔE(Lab)=10.1 → --text; alpha=0.3,src/css/work.css:115
#f5faf9,1,UI,--bg,2.5,ΔE(Lab)=2.5 → --bg,src/admin/ai_tuning.php:70
#2a6b62,1,UI,--accent,6.3,ΔE(Lab)=6.3 → --accent,src/admin/ai_tuning.php:71
#e5edeb,1,UI,--accent-tint,0.6,ΔE(Lab)=0.6 → --accent-tint,src/admin/ai_tuning.php:83
#e0ece9,1,UI,--accent-tint,1.7,ΔE(Lab)=1.7 → --accent-tint,src/admin/ai_tuning.php:96
#1a5c54,1,UI,--accent,4.7,ΔE(Lab)=4.7 → --accent,src/admin/ai_tuning.php:104
#e53,1,UNSURE,--text-muted,80.3,"ΔE(Lab)=80.3 → --text-muted; 채도(C*)=76.2, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/admin/ai_tuning.php:120
#fff0ee,1,UI,--bg,5.9,ΔE(Lab)=5.9 → --bg,src/admin/ai_tuning.php:120
#fff8e6,1,UI,--bg,10.2,ΔE(Lab)=10.2 → --bg,src/admin/ai_tuning.php:258
#b07d00,1,UNSURE,--text-muted,68.1,"ΔE(Lab)=68.1 → --text-muted; 채도(C*)=62.8, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/admin/ai_tuning.php:258
#4db8ac,1,UNSURE,--text-muted,33.9,"ΔE(Lab)=33.9 → --text-muted; 채도(C*)=33.7, 팔레트와 거리 큼 - 원색/브랜드성 색상 여부 확인 필요",src/admin/ai_stats.php:38
#f5f7f5,1,UI,--bg,1.8,ΔE(Lab)=1.8 → --bg,src/admin/ai_stats.php:50
#000000,1,UI,--text,15.3,ΔE(Lab)=15.3 → --text,src/components/auth_modal.php:34
